dead_line,description,state_enum
2022-02-19,Complete the puzzle,COMPLETED
2022-02-26,Solve the mystery,COMPLETED
2022-11-09,Reach the finish line,IN_PROCESS
2023-04-16,Reach the finish line,COMPLETED
2023-06-24,Reach the finish line,COMPLETED
2023-10-19,Complete the puzzle,COMPLETED
2023-09-16,Collect all the items,IN_PROCESS
2023-02-20,Solve the mystery,COMPLETED
2022-03-01,Solve the mystery,COMPLETED
2023-04-16,Solve the mystery,PENDING
2023-04-11,Complete the puzzle,PENDING
2022-01-27,Reach the finish line,PENDING
2022-03-15,Reach the finish line,IN_PROCESS
2023-02-14,Solve the mystery,COMPLETED
2023-08-19,Solve the mystery,IN_PROCESS
2022-07-30,Collect all the items,COMPLETED
2022-07-04,Collect all the items,COMPLETED
2022-01-06,Collect all the items,COMPLETED
2023-02-20,Reach the finish line,IN_PROCESS
2022-03-24,Solve the mystery,COMPLETED
2022-02-04,Complete the puzzle,IN_PROCESS
2022-10-25,Defeat the enemy,COMPLETED
2022-12-03,Collect all the items,PENDING
2022-01-16,Reach the finish line,COMPLETED
2023-03-17,Solve the mystery,PENDING
2022-07-01,Defeat the enemy,IN_PROCESS
2022-11-09,Reach the finish line,PENDING
2022-02-05,Reach the finish line,IN_PROCESS
2022-04-15,Reach the finish line,COMPLETED
2022-07-19,Complete the puzzle,IN_PROCESS
2022-12-02,Solve the mystery,IN_PROCESS
2022-12-11,Solve the mystery,COMPLETED
2023-06-21,Complete the puzzle,COMPLETED
2023-01-14,Solve the mystery,COMPLETED
2023-06-28,Reach the finish line,IN_PROCESS
2023-03-27,Solve the mystery,PENDING
2023-05-23,Complete the puzzle,PENDING
2022-06-18,Reach the finish line,COMPLETED
2023-06-17,Reach the finish line,PENDING
2023-04-28,Complete the puzzle,PENDING
2023-07-10,Defeat the enemy,IN_PROCESS
2022-09-21,Complete the puzzle,IN_PROCESS
2023-01-04,Solve the mystery,IN_PROCESS
2023-09-19,Reach the finish line,COMPLETED
2022-02-21,Reach the finish line,COMPLETED
2023-04-27,Solve the mystery,COMPLETED
2022-08-27,Complete the puzzle,PENDING
2022-12-21,Collect all the items,COMPLETED
2022-12-07,Collect all the items,COMPLETED
2023-07-15,Solve the mystery,COMPLETED
2021-12-03,Solve the mystery,IN_PROCESS
2023-05-19,Solve the mystery,IN_PROCESS
2022-03-20,Reach the finish line,PENDING
2023-08-23,Reach the finish line,PENDING
2022-02-04,Complete the puzzle,IN_PROCESS
2022-03-24,Collect all the items,PENDING
2023-08-04,Solve the mystery,PENDING
2023-03-30,Collect all the items,COMPLETED
2022-08-24,Collect all the items,COMPLETED
2021-12-08,Reach the finish line,IN_PROCESS
2023-10-15,Reach the finish line,PENDING
2023-11-08,Reach the finish line,PENDING
2023-01-18,Solve the mystery,COMPLETED
2023-03-14,Reach the finish line,IN_PROCESS
2023-09-05,Defeat the enemy,IN_PROCESS
2022-08-14,Defeat the enemy,IN_PROCESS
2022-06-26,Defeat the enemy,COMPLETED
2023-11-22,Reach the finish line,PENDING
2023-06-20,Defeat the enemy,PENDING
2022-02-12,Solve the mystery,PENDING
2022-06-23,Complete the puzzle,COMPLETED
2022-06-14,Reach the finish line,IN_PROCESS
2023-08-30,Defeat the enemy,COMPLETED
2022-12-01,Defeat the enemy,IN_PROCESS
2023-06-25,Solve the mystery,IN_PROCESS
2023-11-05,Collect all the items,COMPLETED
2023-09-25,Solve the mystery,PENDING
2022-04-30,Complete the puzzle,IN_PROCESS
2023-04-27,Collect all the items,PENDING
2022-11-27,Solve the mystery,COMPLETED
2023-06-02,Solve the mystery,PENDING
2021-12-08,Defeat the enemy,PENDING
2021-12-10,Reach the finish line,PENDING
2023-01-06,Complete the puzzle,COMPLETED
2023-01-23,Solve the mystery,COMPLETED
2021-12-20,Reach the finish line,COMPLETED
2023-05-20,Defeat the enemy,COMPLETED
2023-10-20,Defeat the enemy,IN_PROCESS
2022-08-18,Defeat the enemy,PENDING
2022-04-14,Defeat the enemy,PENDING
2023-07-22,Solve the mystery,IN_PROCESS
2022-07-08,Collect all the items,PENDING
2023-01-25,Collect all the items,IN_PROCESS
2023-09-29,Defeat the enemy,COMPLETED
2022-02-09,Solve the mystery,COMPLETED
2021-12-19,Solve the mystery,COMPLETED
2022-03-13,Solve the mystery,PENDING
2022-02-08,Solve the mystery,PENDING
2022-06-05,Defeat the enemy,PENDING
2022-08-04,Defeat the enemy,PENDING
2023-11-19,Solve the mystery,IN_PROCESS
2022-04-11,Solve the mystery,PENDING
2023-06-23,Complete the puzzle,PENDING
2022-03-17,Collect all the items,PENDING
2022-10-06,Complete the puzzle,IN_PROCESS
2022-02-05,Defeat the enemy,PENDING
2022-06-28,Solve the mystery,COMPLETED
2023-09-22,Reach the finish line,IN_PROCESS
2022-03-28,Complete the puzzle,IN_PROCESS
2022-07-02,Defeat the enemy,IN_PROCESS
2023-08-23,Complete the puzzle,IN_PROCESS
2022-12-07,Reach the finish line,COMPLETED
2023-05-15,Defeat the enemy,IN_PROCESS
2023-11-10,Reach the finish line,COMPLETED
2022-11-04,Collect all the items,PENDING
2023-04-18,Defeat the enemy,COMPLETED
2022-07-27,Complete the puzzle,PENDING
2022-12-27,Solve the mystery,COMPLETED
2022-10-08,Solve the mystery,IN_PROCESS
2023-01-12,Defeat the enemy,IN_PROCESS
2023-07-28,Defeat the enemy,PENDING
2022-08-12,Solve the mystery,IN_PROCESS
2022-09-03,Complete the puzzle,COMPLETED
2022-07-03,Reach the finish line,IN_PROCESS
2022-07-10,Defeat the enemy,IN_PROCESS
2022-05-03,Collect all the items,COMPLETED
2023-01-12,Collect all the items,PENDING
2023-02-08,Complete the puzzle,PENDING
2023-02-09,Solve the mystery,PENDING
2023-04-23,Reach the finish line,PENDING
2021-12-26,Reach the finish line,COMPLETED
2022-11-18,Solve the mystery,COMPLETED
2022-12-26,Complete the puzzle,COMPLETED
2023-10-08,Complete the puzzle,IN_PROCESS
2021-12-06,Collect all the items,PENDING
2023-02-25,Defeat the enemy,IN_PROCESS
2023-02-08,Reach the finish line,PENDING
2023-05-02,Defeat the enemy,PENDING
2022-10-07,Solve the mystery,IN_PROCESS
2022-01-28,Solve the mystery,IN_PROCESS
2022-10-20,Defeat the enemy,PENDING
2023-11-17,Defeat the enemy,IN_PROCESS
2023-07-12,Collect all the items,PENDING
2022-05-30,Defeat the enemy,IN_PROCESS
2023-05-08,Solve the mystery,IN_PROCESS
2023-02-10,Complete the puzzle,PENDING
2023-01-06,Defeat the enemy,COMPLETED
2021-12-26,Collect all the items,IN_PROCESS
2023-02-27,Solve the mystery,PENDING
2023-06-18,Collect all the items,IN_PROCESS
2022-03-27,Solve the mystery,PENDING
2022-04-27,Reach the finish line,IN_PROCESS
2023-04-29,Defeat the enemy,PENDING
2022-06-02,Reach the finish line,IN_PROCESS
2023-07-05,Defeat the enemy,IN_PROCESS
2023-02-10,Complete the puzzle,IN_PROCESS
2022-07-01,Complete the puzzle,COMPLETED
2022-10-07,Reach the finish line,PENDING
2022-05-01,Complete the puzzle,PENDING
2022-05-18,Solve the mystery,PENDING
2023-01-02,Collect all the items,COMPLETED
2022-06-07,Reach the finish line,IN_PROCESS
2022-02-17,Collect all the items,PENDING
2023-08-06,Reach the finish line,COMPLETED
2022-08-08,Defeat the enemy,PENDING
2023-01-27,Solve the mystery,IN_PROCESS
2023-06-24,Collect all the items,PENDING
2023-10-21,Collect all the items,COMPLETED
2021-12-21,Defeat the enemy,IN_PROCESS
2022-02-22,Reach the finish line,IN_PROCESS
2022-01-31,Collect all the items,IN_PROCESS
2023-04-01,Reach the finish line,IN_PROCESS
2022-02-07,Complete the puzzle,PENDING
2023-08-25,Defeat the enemy,COMPLETED
2022-08-26,Defeat the enemy,PENDING
2022-09-26,Complete the puzzle,IN_PROCESS
2023-04-01,Collect all the items,COMPLETED
2022-09-22,Complete the puzzle,COMPLETED
2022-03-27,Solve the mystery,PENDING
2021-12-04,Reach the finish line,COMPLETED
2023-03-28,Reach the finish line,IN_PROCESS
2022-09-28,Collect all the items,PENDING
2023-04-10,Reach the finish line,IN_PROCESS
2023-11-24,Collect all the items,PENDING
2022-03-10,Solve the mystery,IN_PROCESS
2023-04-26,Reach the finish line,PENDING
2022-04-26,Reach the finish line,COMPLETED
2023-09-27,Collect all the items,COMPLETED
2022-12-01,Solve the mystery,PENDING
2023-11-24,Solve the mystery,IN_PROCESS
2022-11-21,Defeat the enemy,PENDING
2023-04-20,Collect all the items,IN_PROCESS
2023-10-05,Solve the mystery,IN_PROCESS
2022-12-21,Complete the puzzle,IN_PROCESS
2023-11-24,Solve the mystery,COMPLETED
2022-01-19,Complete the puzzle,COMPLETED
2023-11-22,Solve the mystery,COMPLETED
2023-10-31,Solve the mystery,IN_PROCESS
2022-12-22,Solve the mystery,IN_PROCESS
2023-11-20,Defeat the enemy,IN_PROCESS
2023-06-30,Reach the finish line,IN_PROCESS
2022-11-27,Solve the mystery,COMPLETED
2023-07-31,Defeat the enemy,COMPLETED
2023-09-12,Reach the finish line,COMPLETED
2023-09-26,Solve the mystery,COMPLETED
2022-10-20,Reach the finish line,PENDING
2023-07-10,Solve the mystery,IN_PROCESS
2023-06-12,Solve the mystery,PENDING
2023-02-08,Solve the mystery,COMPLETED
2023-03-26,Solve the mystery,COMPLETED
2023-01-26,Complete the puzzle,COMPLETED
2022-07-17,Solve the mystery,IN_PROCESS
2022-04-27,Solve the mystery,COMPLETED
2022-08-05,Collect all the items,IN_PROCESS
2022-10-15,Solve the mystery,COMPLETED
2022-11-27,Reach the finish line,PENDING
2022-04-04,Collect all the items,PENDING
2022-01-17,Solve the mystery,IN_PROCESS
2023-02-14,Collect all the items,PENDING
2023-08-03,Solve the mystery,COMPLETED
2022-06-06,Reach the finish line,IN_PROCESS
2022-11-03,Reach the finish line,PENDING
2023-06-19,Complete the puzzle,COMPLETED
2022-11-15,Solve the mystery,COMPLETED
2023-09-22,Collect all the items,COMPLETED
2022-08-12,Complete the puzzle,IN_PROCESS
2023-03-10,Collect all the items,PENDING
2023-02-09,Collect all the items,PENDING
2022-02-11,Reach the finish line,COMPLETED
2022-03-01,Reach the finish line,IN_PROCESS
2023-11-13,Collect all the items,PENDING
2022-04-20,Collect all the items,PENDING
2022-12-21,Complete the puzzle,COMPLETED
2022-03-27,Solve the mystery,COMPLETED
2022-03-19,Defeat the enemy,PENDING
2023-10-29,Reach the finish line,COMPLETED
2023-09-14,Defeat the enemy,IN_PROCESS
2021-12-12,Reach the finish line,PENDING
2022-02-06,Reach the finish line,IN_PROCESS
2023-11-26,Complete the puzzle,PENDING
2022-03-27,Collect all the items,PENDING
2023-02-23,Collect all the items,PENDING
2022-11-07,Collect all the items,COMPLETED
2023-10-05,Defeat the enemy,PENDING
2022-10-22,Solve the mystery,COMPLETED
2022-10-23,Collect all the items,PENDING
2022-02-13,Complete the puzzle,COMPLETED
2022-08-21,Reach the finish line,PENDING
2022-12-01,Reach the finish line,COMPLETED
2022-12-01,Solve the mystery,COMPLETED
2023-08-19,Collect all the items,COMPLETED
2022-12-07,Solve the mystery,IN_PROCESS
2023-10-23,Complete the puzzle,IN_PROCESS
2023-08-25,Solve the mystery,COMPLETED
2022-07-06,Complete the puzzle,PENDING
2022-03-03,Solve the mystery,PENDING
2023-05-23,Reach the finish line,IN_PROCESS
2023-11-11,Reach the finish line,IN_PROCESS
2023-11-24,Defeat the enemy,PENDING
2023-10-13,Defeat the enemy,COMPLETED
2023-07-06,Solve the mystery,COMPLETED
2023-02-04,Solve the mystery,PENDING
2022-10-07,Defeat the enemy,IN_PROCESS
2022-06-24,Solve the mystery,IN_PROCESS
2023-09-08,Defeat the enemy,PENDING
2023-07-12,Solve the mystery,IN_PROCESS
2022-06-27,Collect all the items,IN_PROCESS
2022-09-20,Collect all the items,IN_PROCESS
2022-01-23,Complete the puzzle,COMPLETED
2023-07-10,Solve the mystery,PENDING
2023-08-09,Solve the mystery,COMPLETED
2023-09-13,Complete the puzzle,COMPLETED
2023-04-14,Defeat the enemy,PENDING
2022-11-03,Reach the finish line,IN_PROCESS
2022-06-17,Collect all the items,PENDING
2023-06-28,Complete the puzzle,PENDING
2022-10-16,Defeat the enemy,IN_PROCESS
2022-12-11,Solve the mystery,IN_PROCESS
2022-10-02,Defeat the enemy,COMPLETED
2023-09-30,Complete the puzzle,COMPLETED
2023-07-05,Reach the finish line,PENDING
2022-08-02,Defeat the enemy,PENDING
2023-01-20,Complete the puzzle,PENDING
2022-08-05,Reach the finish line,PENDING
2022-03-10,Solve the mystery,PENDING
2022-09-13,Complete the puzzle,PENDING
2023-01-04,Collect all the items,IN_PROCESS
2023-06-29,Collect all the items,IN_PROCESS
2022-11-30,Solve the mystery,IN_PROCESS
2023-06-06,Collect all the items,PENDING
2023-09-05,Collect all the items,COMPLETED
2022-12-27,Reach the finish line,COMPLETED
2022-08-19,Complete the puzzle,COMPLETED
2023-04-06,Complete the puzzle,PENDING
2022-09-24,Collect all the items,IN_PROCESS
2023-11-11,Reach the finish line,PENDING
2022-07-12,Collect all the items,COMPLETED
2023-06-29,Collect all the items,IN_PROCESS
2023-09-20,Complete the puzzle,PENDING
2023-07-23,Defeat the enemy,IN_PROCESS
2023-11-28,Reach the finish line,COMPLETED
2022-11-09,Collect all the items,COMPLETED
2022-09-17,Reach the finish line,COMPLETED
2022-09-14,Reach the finish line,PENDING
2022-01-27,Collect all the items,IN_PROCESS
2022-01-22,Collect all the items,IN_PROCESS
2022-09-12,Defeat the enemy,COMPLETED
2022-06-28,Reach the finish line,PENDING
2023-02-10,Collect all the items,COMPLETED
2023-01-08,Reach the finish line,IN_PROCESS
2022-12-16,Solve the mystery,COMPLETED
2023-05-20,Defeat the enemy,PENDING
2022-11-08,Collect all the items,IN_PROCESS
2022-05-12,Defeat the enemy,IN_PROCESS
2023-10-22,Collect all the items,COMPLETED
2023-05-21,Solve the mystery,PENDING
2023-04-16,Collect all the items,PENDING
2023-01-18,Collect all the items,PENDING
2022-01-29,Collect all the items,PENDING
2022-09-26,Collect all the items,COMPLETED
2022-01-17,Reach the finish line,PENDING
2023-06-07,Complete the puzzle,COMPLETED
2022-02-10,Reach the finish line,COMPLETED
2023-06-07,Solve the mystery,IN_PROCESS
2023-11-24,Collect all the items,COMPLETED
2022-04-18,Complete the puzzle,IN_PROCESS
2023-08-25,Complete the puzzle,IN_PROCESS
2022-07-16,Collect all the items,PENDING
2022-05-13,Defeat the enemy,PENDING
2022-10-05,Complete the puzzle,PENDING
2023-01-23,Defeat the enemy,COMPLETED
2022-03-22,Defeat the enemy,IN_PROCESS
2022-11-23,Reach the finish line,COMPLETED
2023-01-22,Collect all the items,COMPLETED
2023-08-04,Solve the mystery,COMPLETED
2022-05-02,Collect all the items,IN_PROCESS
2022-04-12,Complete the puzzle,PENDING
2022-01-08,Reach the finish line,PENDING
2023-02-12,Solve the mystery,PENDING
2023-02-01,Solve the mystery,COMPLETED
2022-02-17,Reach the finish line,IN_PROCESS
2021-12-30,Reach the finish line,PENDING
2022-03-02,Solve the mystery,PENDING
2023-09-06,Complete the puzzle,IN_PROCESS
2023-06-10,Solve the mystery,COMPLETED
2023-10-01,Collect all the items,PENDING
2023-07-31,Reach the finish line,IN_PROCESS
2023-09-13,Solve the mystery,COMPLETED
2022-07-31,Reach the finish line,IN_PROCESS
2022-08-26,Collect all the items,PENDING
2023-02-22,Collect all the items,PENDING
2022-10-24,Solve the mystery,IN_PROCESS
2022-12-19,Defeat the enemy,PENDING
2023-04-21,Defeat the enemy,PENDING
2022-12-03,Defeat the enemy,IN_PROCESS
2023-08-25,Reach the finish line,IN_PROCESS
2023-02-24,Defeat the enemy,COMPLETED
2023-08-10,Solve the mystery,IN_PROCESS
2023-09-01,Collect all the items,COMPLETED
2023-03-04,Defeat the enemy,COMPLETED
2022-04-23,Collect all the items,COMPLETED
2022-09-27,Defeat the enemy,PENDING
2023-01-22,Complete the puzzle,IN_PROCESS
2023-01-15,Reach the finish line,IN_PROCESS
2023-10-08,Defeat the enemy,IN_PROCESS
2022-10-01,Solve the mystery,PENDING
2023-08-10,Collect all the items,IN_PROCESS
2022-06-23,Solve the mystery,COMPLETED
2022-08-12,Defeat the enemy,COMPLETED
2022-01-20,Reach the finish line,PENDING
2022-09-07,Solve the mystery,IN_PROCESS
2022-11-02,Collect all the items,COMPLETED
2023-05-31,Reach the finish line,IN_PROCESS
2022-02-26,Reach the finish line,COMPLETED
2023-04-30,Collect all the items,COMPLETED
2023-08-19,Defeat the enemy,PENDING
2022-04-17,Collect all the items,IN_PROCESS
2023-10-24,Defeat the enemy,PENDING
2023-03-14,Reach the finish line,COMPLETED
2023-11-10,Solve the mystery,COMPLETED
2023-10-16,Solve the mystery,COMPLETED
2022-11-08,Reach the finish line,COMPLETED
2023-06-16,Reach the finish line,COMPLETED
2023-09-21,Reach the finish line,PENDING
2022-01-20,Solve the mystery,PENDING
2022-07-14,Defeat the enemy,IN_PROCESS
2022-06-17,Defeat the enemy,IN_PROCESS
2021-12-21,Solve the mystery,IN_PROCESS
2022-05-03,Complete the puzzle,IN_PROCESS
2022-09-29,Reach the finish line,PENDING
2022-12-13,Collect all the items,PENDING
2023-09-12,Solve the mystery,IN_PROCESS
2023-04-27,Complete the puzzle,IN_PROCESS
2022-04-16,Collect all the items,COMPLETED
2023-09-08,Collect all the items,IN_PROCESS
2023-03-26,Collect all the items,PENDING
2023-05-05,Defeat the enemy,IN_PROCESS
2022-12-28,Complete the puzzle,COMPLETED
2022-09-15,Reach the finish line,COMPLETED
2022-12-24,Reach the finish line,COMPLETED
2023-05-19,Solve the mystery,IN_PROCESS
2023-02-20,Defeat the enemy,COMPLETED
2023-07-09,Solve the mystery,COMPLETED
2022-10-26,Defeat the enemy,PENDING
2022-11-21,Reach the finish line,IN_PROCESS
2023-06-07,Defeat the enemy,IN_PROCESS
2022-02-13,Collect all the items,COMPLETED
2023-03-12,Defeat the enemy,PENDING
2023-07-30,Defeat the enemy,PENDING
2023-04-07,Reach the finish line,PENDING
2022-02-03,Complete the puzzle,PENDING
2023-04-22,Defeat the enemy,PENDING
2022-03-31,Defeat the enemy,IN_PROCESS
2023-02-18,Reach the finish line,PENDING
2021-12-13,Collect all the items,IN_PROCESS
2021-12-08,Reach the finish line,COMPLETED
2022-03-31,Solve the mystery,PENDING
2022-08-10,Complete the puzzle,IN_PROCESS
2022-11-11,Reach the finish line,IN_PROCESS
2022-08-07,Collect all the items,IN_PROCESS
2023-10-19,Solve the mystery,COMPLETED
2023-06-27,Solve the mystery,PENDING
2022-01-12,Defeat the enemy,IN_PROCESS
2022-03-06,Solve the mystery,IN_PROCESS
2022-02-01,Complete the puzzle,PENDING
2022-07-28,Complete the puzzle,COMPLETED
2023-11-12,Solve the mystery,IN_PROCESS
2022-09-22,Complete the puzzle,PENDING
2023-11-07,Reach the finish line,PENDING
2023-07-01,Reach the finish line,COMPLETED
2023-03-11,Reach the finish line,PENDING
2023-10-14,Solve the mystery,COMPLETED
2023-04-26,Defeat the enemy,IN_PROCESS
2022-12-23,Collect all the items,COMPLETED
2023-06-02,Reach the finish line,PENDING
2022-02-26,Reach the finish line,IN_PROCESS
2022-04-10,Defeat the enemy,COMPLETED
2022-11-20,Collect all the items,PENDING
2023-01-24,Reach the finish line,COMPLETED
2023-01-13,Collect all the items,COMPLETED
2023-09-27,Collect all the items,PENDING
2023-08-31,Solve the mystery,PENDING
2022-01-08,Collect all the items,COMPLETED
2023-02-17,Complete the puzzle,PENDING
2023-11-14,Reach the finish line,COMPLETED
2022-03-06,Defeat the enemy,PENDING
2022-02-17,Reach the finish line,IN_PROCESS
2022-10-21,Complete the puzzle,COMPLETED
2023-05-25,Defeat the enemy,COMPLETED
2023-01-22,Collect all the items,IN_PROCESS
2022-07-19,Solve the mystery,COMPLETED
2022-12-26,Collect all the items,COMPLETED
2023-09-13,Defeat the enemy,IN_PROCESS
2022-04-12,Solve the mystery,COMPLETED
2022-01-19,Reach the finish line,PENDING
2023-11-28,Collect all the items,COMPLETED
2023-07-02,Collect all the items,IN_PROCESS
2023-02-04,Reach the finish line,COMPLETED
2023-11-16,Solve the mystery,IN_PROCESS
2023-10-23,Defeat the enemy,IN_PROCESS
2023-01-15,Collect all the items,COMPLETED
2023-09-13,Defeat the enemy,PENDING
2022-03-21,Complete the puzzle,PENDING
2022-01-23,Complete the puzzle,COMPLETED
2022-04-26,Defeat the enemy,COMPLETED
2023-10-03,Collect all the items,COMPLETED
2023-10-10,Reach the finish line,COMPLETED
2023-03-22,Complete the puzzle,COMPLETED
2023-09-07,Defeat the enemy,IN_PROCESS
2023-07-02,Solve the mystery,PENDING
2022-04-28,Collect all the items,PENDING
2023-10-08,Complete the puzzle,IN_PROCESS
2022-09-16,Defeat the enemy,PENDING
2022-06-10,Defeat the enemy,PENDING
2022-06-09,Solve the mystery,IN_PROCESS
2022-01-06,Solve the mystery,PENDING
2022-04-24,Defeat the enemy,IN_PROCESS
2022-10-24,Reach the finish line,IN_PROCESS
2022-02-18,Defeat the enemy,IN_PROCESS
2023-01-24,Reach the finish line,IN_PROCESS
2022-07-30,Solve the mystery,IN_PROCESS
2023-04-11,Defeat the enemy,PENDING
2022-01-14,Solve the mystery,PENDING
2023-04-05,Collect all the items,PENDING
2022-02-10,Complete the puzzle,COMPLETED
2022-04-04,Solve the mystery,IN_PROCESS
2023-08-31,Reach the finish line,COMPLETED
2023-05-10,Defeat the enemy,PENDING
2021-12-21,Collect all the items,COMPLETED
2022-04-23,Solve the mystery,IN_PROCESS
2023-05-26,Reach the finish line,IN_PROCESS
2023-02-20,Complete the puzzle,IN_PROCESS
2023-05-18,Complete the puzzle,IN_PROCESS
2023-04-16,Complete the puzzle,COMPLETED
2023-10-27,Defeat the enemy,PENDING
2022-02-01,Solve the mystery,IN_PROCESS
2023-01-15,Defeat the enemy,COMPLETED
2023-02-09,Complete the puzzle,IN_PROCESS
